Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2020-01-02,67.96524047851562,67.96524047851562,66.86334321576778,66.95868630395924,27278000
2020-01-03,67.60968780517578,68.21700271420914,66.90455208946976,66.93832337803212,23408000
2020-01-06,69.4117660522461,69.43708883609668,67.08729816087028,67.11857657252054,46768000
2020-01-07,69.27767944335938,69.69430813422605,69.1013974302101,69.54334890156011,34330000
2020-01-08,69.77078247070312,70.10894997178289,69.15453414305767,69.26328117365361,35314000
2020-01-09,70.50323486328125,70.94468628827275,70.0275120595761,70.60949659555637,33200000
2020-01-10,70.95858764648438,71.25554310798687,70.49379866523805,70.98391800569446,26258000
2020-01-13,71.50830078125,71.5802987088555,70.78032005165358,71.27093190331932,30730000
2020-01-14,71.03953552246094,71.63740929797085,70.89949492783481,71.50680981258097,26076000
2020-01-15,71.46708679199219,71.54554802109986,71.09267026131843,71.1602052622877,21550000
2020-01-16,72.0113296508789,72.03814512752133,71.50680619446874,71.77743868365702,26080000
2020-01-17,73.46926879882812,73.52041445228143,72.32863737834732,72.626085344564,52424000
2020-01-21,73.60485076904297,73.98373783103727,73.0069693492821,73.44345779207156,48930000
2020-01-22,73.68527221679688,74.51505165919902,73.62519312703597,73.97627202033674,28458000
2020-01-23,73.72599792480469,74.16348648276097,73.50899638662688,73.86802372289836,26650000
2020-01-24,72.80634307861328,74.198239790935,72.65786156843807,74.12971219458755,29786000
2020-01-27,71.09614562988281,71.3369848455489,70.48883073371002,71.0867120976033,34132000
2020-01-28,72.02821350097656,72.24173713836646,71.02810757836856,71.59321023544943,29724000
2020-01-29,72.33609008789062,72.70554357944198,71.77446531610946,72.42348475495831,21566000
2020-01-30,72.21443176269531,72.26408472389092,71.25852322835154,71.41246028918627,27110000
2020-01-31,71.14827728271484,72.98014026995669,70.86423327330586,72.8902603105145,43822000
2020-02-03,73.6222152709961,73.80595319465691,72.33161718194921,72.58188991973289,71636000
2020-02-04,71.77545928955078,72.86444505255666,70.61446801787635,72.2263518292056,95880000
2020-02-05,71.80723571777344,72.72738774441514,70.99434560329382,72.67921990211404,36376000
2020-02-06,73.29298400878906,73.57057229670284,72.02721627071665,72.1016994935962,37822000
2020-02-07,73.44891357421875,73.75380988182637,72.76860814708976,72.866929041931,28360000
2020-02-10,74.91629791259766,74.92722414087224,73.25476107852305,73.3555672789149,38302000
2020-02-11,74.9858169555664,75.97003370117069,74.7568965647971,75.14521713630961,34852000
